"FULL","17395","ГОЦЕ ДЕЛЧЕВ","ГОЦЕ ДЕЛЧЕВ","2900","БЛАГОЕВГРАД","гр."
"NO","17645","ГРАМАДА","ГРАМАДА","3830","ВИДИН","гр."
"NO","18099","ГУЛЯНЦИ","ГУЛЯНЦИ","5960","ПЛЕВЕН","гр."
"NO","18157","ГУРКОВО","ГУРКОВО","6199","СТАРА ЗАГОРА","гр."
"NO","18280","ГЪЛЪБОВО","ГЪЛЪБОВО","6280","СТАРА ЗАГОРА","гр."
"NO","20184","ДВЕ МОГИЛИ","ДВЕ МОГИЛИ","7150","РУСЕ","гр."
"NO","20242","ВЕЛИКО ТЪРНОВО","ДЕБЕЛЕЦ","5030","ВЕЛИКО ТЪРНОВО","гр."
"NO","20465","ДЕВИН","ДЕВИН","4800","СМОЛЯН","гр."
"NO","20482","ДЕВНЯ","ДЕВНЯ","9160","ВАРНА","гр."
"NO","20746","ДЖЕБЕЛ","ДЖЕБЕЛ","6850","КЪРДЖАЛИ","гр."
"FULL","21052","ДИМИТРОВГРАД","ДИМИТРОВГРАД","6400","ХАСКОВО","гр."
"NO","21097","ДИМОВО","ДИМОВО","3750","ВИДИН","гр."
"NO","21498","БАНСКО","ДОБРИНИЩЕ","2777","БЛАГОЕВГРАД","гр."
"FULL","72624","ДОБРИЧ","ДОБРИЧ","9300","ДОБРИЧ","гр."
"NO","22006","ДОЛНА БАНЯ","ДОЛНА БАНЯ","2040","СОФИЯ","гр."
"NO","22215","ДОЛНА МИТРОПОЛИЯ","ДОЛНА МИТРОПОЛИЯ","5855","ПЛЕВЕН","гр."
"NO","22232","ГОРНА ОРЯХОВИЦА","ДОЛНА ОРЯХОВИЦА","5130","ВЕЛИКО ТЪРНОВО","гр."
"NO","22407","ДОЛНИ ДЪБНИК","ДОЛНИ ДЪБНИК","5870","ПЛЕВЕН","гр."
"NO","21912","ДОЛНИ ЧИФЛИК","ДОЛНИ ЧИФЛИК","9120","ВАРНА","гр."
"NO","23025","ДОСПАТ","ДОСПАТ","4831","СМОЛЯН","гр."
"NO","23409","ДРАГОМАН","ДРАГОМАН","2210","СОФИЯ","гр."
"NO","23947","ДРЯНОВО","ДРЯНОВО","5370","ГАБРОВО","гр."
"NO","24030","ДУЛОВО","ДУЛОВО","7650","СИЛИСТРА","гр."
"NO","24061","ВИДИН","ДУНАВЦИ","3740","ВИДИН","гр."
"PARTIAL","68789","ДУПНИЦА","ДУПНИЦА","2600","КЮСТЕНДИЛ","гр."
"NO","24565","ДЪЛГОПОЛ","ДЪЛГОПОЛ","9250","ВАРНА","гр."
"NO","27190","ЕЛЕНА","ЕЛЕНА","5070","ВЕЛИКО ТЪРНОВО","гр."
"NO","27303","ЕЛИН ПЕЛИН","ЕЛИН ПЕЛИН","2100","СОФИЯ","гр."
"NO","27382","ЕЛХОВО","ЕЛХОВО","8700","ЯМБОЛ","гр."
"NO","27632","ЕТРОПОЛЕ","ЕТРОПОЛЕ","2180","СОФИЯ","гр."
"NO","30065","ЗАВЕТ","ЗАВЕТ","7330","РАЗГРАД","гр."
"NO","30778","ЗЕМЕН","ЗЕМЕН","2440","ПЕРНИК","гр."
"NO","30962","ЗЛАТАРИЦА","ЗЛАТАРИЦА","5090","ВЕЛИКО ТЪРНОВО","гр."
"NO","31044","ЗЛАТИЦА","ЗЛАТИЦА","2080","СОФИЯ","гр."
"NO","31111","ЗЛАТОГРАД","ЗЛАТОГРАД","4980","СМОЛЯН","гр."
"NO","32024","ИВАЙЛОВГРАД","ИВАЙЛОВГРАД","6570","ХАСКОВО","гр."
"NO","55782","ИСКЪР","ИСКЪР","5868","ПЛЕВЕН","гр."
"NO","32874","ИСПЕРИХ","ИСПЕРИХ","7400","РАЗГРАД","гр."
"NO","32901","ИХТИМАН","ИХТИМАН","2050","СОФИЯ","гр."
